title,min_b2b,max_b2b,min_uop,max_uop,location_code,experience_code,operating_mode_code,AWS,Angular,Azure,C#,C++,CSS,Django,Docker/Kubernetes,FastAPI,Flask,Git,Go,GraphQL,HTML,IOS,JIRA,Java,JavaScript,Jenkins,Linux,NoSQL,PHP,Python,RESTAPI,React,Ruby,SQL,Scala,Spring,Terraform,TypeScript,Vue.js,Windows,android
Senior Typescript Developer,24479,25849,0,0,55,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Senior Typescript Developer,24479,25849,0,0,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Senior Software Engineer (Level 5),24000,31500,19200,25200,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Senior Software Engineer - Full Stack (JS/Typescript/React/AWS),0,0,18000,28000,51,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Mid Full Stack Developer (Node.js & React) 🐤,13000,18000,10800,14900,60,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Mid Full Stack Developer (Node.js & React) 🐤,13000,18000,10800,14900,38,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Mid Full Stack Developer (Node.js & React) 🐤,13000,18000,10800,14900,17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Mid Full Stack Developer (Node.js & React) 🐤,13000,18000,10800,14900,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Mid Full Stack Developer (Node.js & React) 🐤,13000,18000,10800,14900,51,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Mid Full Stack Developer (Node.js & React) 🐤,13000,18000,10800,14900,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
